baseline,none,none,pre,2020-12-07-15:41:04,-27,-38,-47,25,-61,-24,-5,-21
baseline,none,none,actual,2020-12-07-15:41:05,19207,17906,12320,37701,31241,31592,63307,11954
PET,clear,01,pre,2020-12-07-15:41:24,1,-2,-27,-30,-53,22,-34,-12
PET,clear,01,actual,2020-12-07-15:41:25,19494,18699,16251,45344,36098,38741,66048,12295
PP,clear,02,pre,2020-12-07-15:41:46,7,-20,-6,14,-26,-55,-33,-28
PP,clear,02,actual,2020-12-07-15:41:47,22871,21638,13990,41259,36030,35445,86700,14539
ABS,blue,03,pre,2020-12-07-15:42:07,-58,-60,-74,-70,-29,-37,-49,-106
ABS,blue,03,actual,2020-12-07-15:42:09,47370,50485,34400,86160,73005,83625,273945,40117
PE,white,04,pre,2020-12-07-15:42:27,-35,-66,-10,-31,-29,-33,-42,-37
PE,white,04,actual,2020-12-07-15:42:28,59773,54300,36543,88478,77525,94144,341327,60535
unknown,red,05,pre,2020-12-07-15:42:54,-19,-33,-11,-31,-2,-30,-50,-53
unknown,red,05,actual,2020-12-07-15:42:55,26795,24904,16573,47542,40415,45553,128843,25850
PET,blue,06,pre,2020-12-07-15:43:15,13,-53,-29,-27,-50,-62,5,-64
PET,blue,06,actual,2020-12-07-15:43:16,21842,23027,15405,44241,42806,40765,132130,21335
PP,clear,07,pre,2020-12-07-15:43:38,-48,-5,-9,-7,-15,-35,-19,-31
PP,clear,07,actual,2020-12-07-15:43:39,21525,25768,14272,40393,33118,34200,73786,14449
PE,white,08,pre,2020-12-07-15:43:55,-20,-37,-32,-54,-20,-54,-34,1
PE,white,08,actual,2020-12-07-15:43:57,40964,38517,27515,70362,62537,75387,261172,48753
unknown,clear,09,pre,2020-12-07-15:44:22,-32,-29,-6,-22,-27,-20,-9,-43
unknown,clear,09,actual,2020-12-07-15:44:23,25817,23188,14572,42784,38078,37154,111967,16265
PLA,white,10,pre,2020-12-07-15:44:56,-29,-1,-60,-33,-45,8,-14,-12
